Date,Open,High,Low,Close,Adj Close,Volume
2019-11-19,1.780000,1.890000,1.780000,1.830000,1.830000,26780800
2019-11-20,1.850000,1.870000,1.770000,1.840000,1.840000,20728500
2019-11-21,1.870000,2.040000,1.820000,1.980000,1.980000,41394200
2019-11-22,2.040000,2.050000,1.880000,1.940000,1.940000,25152300
2019-11-25,1.990000,2.120000,1.960000,2.050000,2.050000,36836400
2019-11-26,2.120000,2.290000,2.120000,2.280000,2.280000,55122700
2019-11-27,2.320000,2.500000,2.280000,2.460000,2.460000,77368600
2019-11-29,2.360000,2.360000,2.200000,2.270000,2.270000,32640300
2019-12-02,2.350000,2.440000,2.300000,2.440000,2.440000,32677500
2019-12-03,2.310000,2.480000,2.250000,2.400000,2.400000,37865200
2019-12-04,2.420000,2.580000,2.410000,2.420000,2.420000,46792900
2019-12-05,2.530000,2.570000,2.250000,2.270000,2.270000,53235200
2019-12-06,2.320000,2.340000,2.200000,2.260000,2.260000,31931900
2019-12-09,2.210000,2.250000,2.110000,2.220000,2.220000,31542900
2019-12-10,2.200000,2.280000,2.140000,2.270000,2.270000,25220200
2019-12-11,2.260000,2.320000,2.230000,2.260000,2.260000,20342900
2019-12-12,2.300000,2.330000,2.260000,2.270000,2.270000,22457900
2019-12-13,2.310000,2.430000,2.290000,2.390000,2.390000,37228900
2019-12-16,2.440000,2.550000,2.390000,2.480000,2.480000,36916800
2019-12-17,2.540000,2.630000,2.500000,2.590000,2.590000,45654500
2019-12-18,2.580000,2.670000,2.540000,2.630000,2.630000,31811100
2019-12-19,2.690000,2.730000,2.610000,2.620000,2.620000,36301300
2019-12-20,2.650000,2.720000,2.630000,2.690000,2.690000,50971500
2019-12-23,2.740000,2.760000,2.650000,2.670000,2.670000,28571900
2019-12-24,2.630000,2.630000,2.450000,2.530000,2.530000,32029800
2019-12-26,2.450000,2.520000,2.350000,2.510000,2.510000,44173700
2019-12-27,2.540000,2.550000,2.410000,2.420000,2.420000,37553300
2019-12-30,2.920000,4.870000,2.880000,3.720000,3.720000,432720700
2019-12-31,4.150000,4.420000,3.820000,4.020000,4.020000,215008600
2020-01-02,4.100000,4.100000,3.610000,3.720000,3.720000,103740100
2020-01-03,3.500000,3.900000,3.480000,3.830000,3.830000,82892400
2020-01-06,4.190000,4.240000,3.660000,3.680000,3.680000,106619700
2020-01-07,3.700000,3.730000,3.210000,3.240000,3.240000,106336400
2020-01-08,3.140000,3.490000,3.130000,3.390000,3.390000,65118100
2020-01-09,3.440000,3.580000,3.330000,3.460000,3.460000,54644200
2020-01-10,3.490000,3.580000,3.400000,3.510000,3.510000,35626700
2020-01-13,3.710000,3.730000,3.520000,3.700000,3.700000,59752700
2020-01-14,3.700000,3.820000,3.610000,3.760000,3.760000,55194000
2020-01-15,4.190000,4.480000,4.000000,4.290000,4.290000,236357900
2020-01-16,3.990000,4.400000,3.910000,4.370000,4.370000,97941700
2020-01-17,4.510000,4.710000,4.460000,4.670000,4.670000,109601300
2020-01-21,4.600000,5.290000,4.520000,5.170000,5.170000,181423600
2020-01-22,5.420000,5.650000,4.690000,4.790000,4.790000,207132700
2020-01-23,4.570000,4.950000,4.310000,4.920000,4.920000,102535300
2020-01-24,5.000000,5.060000,4.510000,4.660000,4.660000,65538000
2020-01-27,3.990000,4.350000,3.840000,4.010000,4.010000,102028700
2020-01-28,4.250000,4.270000,4.030000,4.210000,4.210000,48979100
2020-01-29,4.230000,4.330000,4.020000,4.270000,4.270000,53844300
2020-01-30,4.240000,4.380000,4.010000,4.080000,4.080000,75009800
2020-01-31,4.020000,4.040000,3.670000,3.780000,3.780000,77923200
2020-02-03,3.540000,4.110000,3.520000,4.060000,4.060000,74051600
2020-02-04,4.290000,4.700000,4.160000,4.510000,4.510000,123640400
2020-02-05,4.370000,4.480000,4.130000,4.390000,4.390000,73632500
2020-02-06,4.200000,4.330000,4.050000,4.080000,4.080000,75463300
2020-02-07,4.020000,4.020000,3.740000,3.810000,3.810000,80780700
2020-02-10,3.670000,3.910000,3.620000,3.870000,3.870000,67157700
2020-02-11,3.830000,4.050000,3.800000,3.960000,3.960000,54097100
2020-02-12,4.000000,4.200000,3.980000,4.070000,4.070000,50975300
2020-02-13,3.950000,4.050000,3.860000,4.030000,4.030000,42411200
2020-02-14,4.020000,4.040000,3.750000,3.770000,3.770000,69655600
2020-02-18,3.900000,3.980000,3.760000,3.800000,3.800000,47700900
2020-02-19,3.930000,4.100000,3.860000,4.080000,4.080000,73256300
2020-02-20,4.100000,4.400000,4.010000,4.260000,4.260000,86873500
2020-02-21,4.200000,4.200000,4.020000,4.080000,4.080000,40425900
2020-02-24,3.790000,3.940000,3.760000,3.880000,3.880000,56247100
2020-02-25,5.180000,5.190000,4.240000,4.400000,4.400000,206259400
2020-02-26,4.500000,4.710000,4.300000,4.340000,4.340000,69558500
2020-02-27,4.090000,4.300000,3.920000,4.140000,4.140000,77442100
2020-02-28,3.960000,4.140000,3.870000,4.130000,4.130000,63782000
2020-03-02,4.150000,4.190000,3.900000,4.110000,4.110000,56063200
2020-03-03,4.080000,4.210000,3.950000,4.060000,4.060000,47644500
2020-03-04,4.030000,4.070000,3.770000,3.870000,3.870000,49465800
2020-03-05,3.780000,3.890000,3.680000,3.720000,3.720000,72697800
2020-03-06,3.620000,3.660000,3.420000,3.550000,3.550000,61238100
2020-03-09,3.010000,3.540000,2.990000,3.290000,3.290000,55305300
2020-03-10,3.490000,3.540000,3.290000,3.500000,3.500000,34928400
2020-03-11,3.400000,3.530000,3.260000,3.320000,3.320000,31099400
2020-03-12,3.060000,3.230000,2.980000,3.130000,3.130000,52438300
2020-03-13,3.280000,3.330000,2.990000,3.110000,3.110000,41770400
2020-03-16,2.870000,3.110000,2.750000,2.940000,2.940000,41266200
2020-03-17,2.970000,3.120000,2.790000,2.900000,2.900000,34862200
2020-03-18,2.400000,2.580000,2.110000,2.430000,2.430000,94431900
2020-03-19,2.300000,2.550000,2.230000,2.380000,2.380000,35499000
2020-03-20,2.490000,2.640000,2.350000,2.400000,2.400000,50528400
2020-03-23,2.340000,2.370000,2.150000,2.370000,2.370000,47435200
2020-03-24,2.550000,2.750000,2.400000,2.600000,2.600000,64750100
2020-03-25,2.720000,2.990000,2.600000,2.760000,2.760000,56588300
2020-03-26,2.810000,3.070000,2.780000,2.930000,2.930000,43579400
2020-03-27,2.850000,2.890000,2.760000,2.840000,2.840000,25132000
2020-03-30,2.810000,2.830000,2.700000,2.710000,2.710000,20115300
2020-03-31,2.830000,2.880000,2.680000,2.780000,2.780000,30261400
2020-04-01,2.630000,2.760000,2.600000,2.650000,2.650000,17153800
2020-04-02,2.510000,2.590000,2.220000,2.390000,2.390000,58942700
2020-04-03,2.450000,2.490000,2.330000,2.400000,2.400000,19519500
2020-04-06,2.480000,2.550000,2.400000,2.470000,2.470000,34866700
2020-04-07,2.810000,2.810000,2.650000,2.700000,2.700000,46149600
2020-04-08,2.760000,2.800000,2.710000,2.740000,2.740000,18312900
2020-04-09,2.820000,2.820000,2.630000,2.670000,2.670000,32810000
2020-04-13,2.670000,2.970000,2.630000,2.970000,2.970000,38421700
2020-04-14,3.150000,3.160000,2.920000,3.010000,3.010000,36479000
2020-04-15,2.950000,3.200000,2.880000,3.200000,3.200000,27529800
2020-04-16,3.300000,3.410000,3.200000,3.250000,3.250000,37801700
2020-04-17,3.360000,3.360000,3.150000,3.210000,3.210000,22831800
2020-04-20,3.180000,3.350000,3.050000,3.190000,3.190000,18691700
2020-04-21,3.100000,3.220000,3.010000,3.020000,3.020000,19789700
2020-04-22,3.090000,3.150000,3.050000,3.090000,3.090000,14539900
2020-04-23,3.200000,3.200000,3.050000,3.060000,3.060000,17434200
2020-04-24,3.080000,3.100000,2.910000,2.940000,2.940000,22126200
2020-04-27,3.000000,3.260000,2.950000,3.240000,3.240000,35641100
2020-04-28,3.400000,3.450000,3.200000,3.340000,3.340000,36326800
2020-04-29,3.830000,3.980000,3.590000,3.610000,3.610000,89238800
2020-04-30,3.630000,3.720000,3.370000,3.410000,3.410000,44388400
2020-05-01,3.300000,3.330000,3.120000,3.180000,3.180000,31268900
2020-05-04,3.080000,3.360000,3.080000,3.340000,3.340000,23387500
2020-05-05,3.440000,3.480000,3.280000,3.280000,3.280000,22315800
2020-05-06,3.590000,3.650000,3.450000,3.620000,3.620000,54347800
2020-05-07,3.630000,3.670000,3.520000,3.630000,3.630000,26736700
2020-05-08,3.680000,3.800000,3.600000,3.770000,3.770000,27861700
2020-05-11,3.720000,3.770000,3.660000,3.740000,3.740000,16541000
2020-05-12,3.740000,3.780000,3.610000,3.620000,3.620000,21943800
2020-05-13,3.640000,3.680000,3.320000,3.440000,3.440000,34034700
2020-05-14,3.330000,3.520000,3.270000,3.450000,3.450000,20936400
2020-05-15,3.370000,3.450000,3.360000,3.370000,3.370000,13699000
2020-05-18,3.500000,3.690000,3.500000,3.610000,3.610000,27830200
2020-05-19,3.620000,3.750000,3.590000,3.690000,3.690000,21707400
2020-05-20,3.760000,3.820000,3.400000,3.480000,3.480000,52056900
2020-05-21,3.400000,3.440000,3.230000,3.330000,3.330000,41628400
2020-05-22,3.330000,3.340000,3.180000,3.270000,3.270000,22887300
2020-05-26,3.420000,3.830000,3.400000,3.820000,3.820000,59847900
2020-05-27,4.010000,4.200000,3.900000,4.170000,4.170000,70718900
2020-05-28,3.980000,4.120000,3.750000,3.830000,3.830000,62756900
2020-05-29,3.820000,4.000000,3.730000,3.980000,3.980000,50395400
2020-06-01,4.000000,4.330000,3.960000,4.260000,4.260000,69222000
2020-06-02,4.360000,4.730000,4.350000,4.700000,4.700000,82476600
2020-06-03,5.000000,5.700000,4.980000,5.600000,5.600000,199210000
2020-06-04,6.010000,6.200000,5.610000,5.970000,5.970000,173052600
2020-06-05,6.030000,6.080000,5.520000,5.590000,5.590000,90811800
2020-06-08,5.810000,6.080000,5.680000,5.970000,5.970000,85951600
2020-06-09,5.840000,6.830000,5.760000,6.680000,6.680000,136907900
2020-06-10,6.720000,6.950000,6.160000,6.300000,6.300000,100170700
2020-06-11,5.790000,6.090000,5.660000,5.910000,5.910000,126509700
2020-06-12,6.200000,6.320000,5.920000,6.100000,6.100000,59687700
2020-06-15,5.970000,6.990000,5.920000,6.830000,6.830000,113694400
2020-06-16,7.430000,7.440000,6.530000,6.990000,6.990000,130478600
2020-06-17,6.930000,6.980000,6.580000,6.840000,6.840000,58835800
2020-06-18,6.800000,7.360000,6.780000,7.180000,7.180000,78846400
2020-06-19,7.360000,7.630000,7.230000,7.340000,7.340000,84604200
2020-06-22,7.860000,7.900000,7.380000,7.430000,7.430000,112976000
2020-06-23,7.550000,7.690000,7.190000,7.230000,7.230000,79863500
2020-06-24,6.930000,7.080000,6.500000,6.860000,6.860000,103888600
2020-06-25,6.660000,7.150000,6.600000,7.080000,7.080000,46660300
2020-06-26,7.030000,7.180000,6.800000,6.900000,6.900000,33596800
2020-06-29,6.980000,7.250000,6.710000,7.230000,7.230000,46070400
2020-06-30,7.210000,7.750000,7.120000,7.720000,7.720000,84485500
2020-07-01,7.790000,7.990000,7.670000,7.910000,7.910000,64842600
2020-07-02,9.050000,9.400000,8.700000,9.380000,9.380000,221496700
2020-07-06,11.050000,12.300000,10.930000,11.510000,11.510000,329223800
2020-07-07,11.260000,13.770000,10.700000,13.220000,13.220000,444070500
2020-07-08,14.100000,15.280000,12.000000,12.880000,12.880000,570911400
2020-07-09,13.500000,14.630000,13.070000,14.570000,14.570000,316792000
2020-07-10,15.610000,15.730000,14.200000,14.980000,14.980000,318851300
2020-07-13,15.260000,16.440001,13.610000,13.840000,13.840000,313460300
2020-07-14,13.250000,14.130000,12.420000,14.090000,14.090000,196123200
2020-07-15,13.820000,13.950000,12.850000,13.520000,13.520000,114603700
2020-07-16,12.460000,13.160000,12.450000,12.940000,12.940000,134606300
2020-07-17,11.860000,12.070000,10.460000,11.090000,11.090000,289518000
2020-07-20,11.420000,12.840000,11.380000,12.820000,12.820000,155428100
2020-07-21,13.450000,13.580000,12.620000,12.880000,12.880000,128389100
2020-07-22,12.380000,12.830000,11.810000,12.380000,12.380000,112260500
2020-07-23,12.590000,12.630000,11.850000,12.150000,12.150000,95206300
2020-07-24,11.380000,11.900000,10.910000,11.820000,11.820000,93425300
2020-07-27,12.030000,12.090000,11.270000,11.690000,11.690000,64068500
2020-07-28,11.480000,12.640000,11.380000,12.270000,12.270000,90075800
2020-07-29,12.650000,13.000000,12.430000,12.700000,12.700000,69552600
2020-07-30,12.620000,12.950000,12.070000,12.200000,12.200000,64952900
2020-07-31,12.410000,12.590000,11.730000,11.940000,11.940000,61813800
2020-08-03,12.530000,13.670000,12.460000,13.600000,13.600000,122925300
2020-08-04,14.460000,14.530000,13.220000,13.640000,13.640000,125731400
2020-08-05,13.410000,14.080000,13.370000,13.920000,13.920000,60375000
2020-08-06,14.100000,14.310000,13.520000,13.840000,13.840000,49546800
2020-08-07,13.540000,13.730000,13.200000,13.214300,13.214300,47270118
